,Be7,Be7 error,C10,C10 error,C11,C11 error,N13,N13 error,N16,N16 error,O14,O14 error,O15,O15 error,energy,thickness
0,658000000.0,8111719.916269299,147600000.0,3841874.542459709,1728300000.0,13146482.419263337,382500000.0,6184658.43842649,30938000.0,1758920.1232574491,242299999.99999997,4922397.789695587,6603400000.0,25697081.546354637,0.25,1.0
4,582100000.0,7629547.824084989,130500000.0,3612478.3736376883,1557500000.0,12479983.974348683,331400000.0,5756735.185849702,30341000.0,1741866.814656046,201100000.00000003,4484417.464955733,5787400000.0,24057015.60875746,0.23,1.0
8,450900000.0,6714908.785679817,98900000.00000001,3144837.0387032772,1293300000.0,11372334.852614919,262500000.00000003,5123475.382979799,26020999.999999996,1613102.6005806327,141700000.0,3764306.0449437425,4597100000.0,21440848.863792684,0.2,1.0
12,262899999.99999997,5127377.497317708,57400000.0,2395829.710142188,809000000.0,8994442.728707545,158200000.0,3977436.3602702683,15577000.0,1248078.5231707178,62300000.0,2495996.794869737,2765900000.0,16630995.159640929,0.15,1.0
16,91100000.0,3018277.6545573142,16400000.0,1280624.8474865698,382400000.0,6183849.933496122,70100000.0,2647640.4589747456,4851900.0,696555.8125520166,14100000.000000002,1187434.2087037917,1249700000.0,11178998.166204339,0.1,1.0
20,20000000.0,1414213.5623730952,2600000.0,509901.95135927846,104700000.0,3235737.937472687,42800000.0,2068816.0865577199,1431000.0,378285.6063875548,3499999.9999999995,591607.9783099615,506739999.99999994,7118567.271579303,0.07,1.0
1,636000000.0,7974960.814950755,153000000.0,3911521.4431215893,1729600000.0,13151425.778218877,365900000.0,6048966.853934645,31033000.0,1761618.5739256951,233200000.0,4829078.5870598545,6384400000.0,25267370.262850862,0.25,2.0
5,551200000.0,7424284.477308235,129300000.00000001,3595830.919273041,1505100000.0,12268251.709188232,309600000.0,5564171.097297422,28816999.999999996,1697557.0682601512,196899999.99999997,4437341.546466758,5580400000.0,23622870.27437606,0.23,2.0
9,443600000.0,6660330.322138686,97799999.99999999,3127299.1542223776,1253000000.0,11193748.255164577,256400000.0,5063595.560468865,23607000.0,1536456.9632762251,137400000.0,3706750.598570128,4369100000.0,20902392.207591936,0.2,2.0
13,241900000.0,4918333.050943175,46500000.0,2156385.8652847824,755900000.0,8694250.974063264,145300000.0,3811823.710509184,11965000.0,1093846.4243210743,54500000.0,2334523.5059857504,2546500000.0,15957756.734578956,0.15,2.0
17,73700000.0,2714774.3920996455,12200000.0,1104536.101718726,287500000.0,5361902.647381804,64700000.0,2543619.468395381,4243900.0,651452.2238813833,11800000.0,1086278.0491200215,1022099999.9999999,10109896.141899778,0.1,2.0
21,8000000.000000001,894427.1909999159,600000.0,244948.9742783178,27799999.999999996,1667333.2000533068,33800000.0,1838477.6310850235,956940.0,309344.4681903977,800000.0,282842.712474619,241700000.0,4916299.421312742,0.07,2.0
2,637800000.0,7986238.163240562,136200000.0,3690528.4174491866,1683099999.9999998,12973434.394947236,356000000.0,5966573.55607052,33034000.0,1817525.7907386073,223300000.00000003,4725462.940284264,6160800000.0,24820958.885587,0.25,3.0
6,529600000.00000006,7277362.159464101,128400000.0,3583294.5734337834,1478800000.0,12160592.09084821,306700000.0,5538050.198400156,29416000.0,1715109.3259614676,180900000.0,4253234.063627348,5404600000.0,23247795.59442142,0.23,3.0
10,415900000.00000006,6449030.9349544905,87100000.0,2951270.9126747414,1191100000.0,10913752.791776072,237800000.0,4876474.136094643,24223000.0,1556373.991044569,125300000.0,3539774.0040855715,4203100000.0,20501463.362404156,0.2,3.0
14,218300000.0,4672258.554489466,44700000.0,2114237.4511865973,721100000.0,8491760.712596653,134200000.00000001,3663331.8168028407,12929000.0,1137057.6062803501,44800000.0,2116601.0488516726,2348800000.0,15325795.248534413,0.15,3.0
18,47500000.0,2179449.471770337,5700000.0,754983.443527075,210599999.99999997,4589117.562233507,49799999.99999999,2231591.3604421397,2225200.0,471720.25608404813,9100000.0,953939.2014169457,791770000.0,8898145.8742819,0.1,3.0
22,0.0,0.0,0.0,0.0,0.0,0.0,32899999.999999996,1813835.714721705,0.0,0.0,0.0,0.0,20000000.0,1414213.5623730952,0.07,3.0
3,583400000.0,7638062.581571324,137400000.0,3706750.598570128,1584300000.0,12586897.949852455,334500000.0,5783597.496368501,31288000.000000004,1768841.4287323782,204700000.00000003,4524378.410345447,5837900000.0,24161746.625606354,0.25,5.0
7,501500000.00000006,7081666.470542085,108800000.0,3298484.5004941286,1382000000.0,11755849.607748477,278400000.0,5276362.383309167,24758000.0,1573467.5084030174,164500000.0,4055859.9581346493,5041700000.0,22453730.20235168,0.23,5.0
11,382900000.0,6187891.401761993,83500000.0,2889636.655359978,1077400000.0,10379788.05178603,214000000.0,4626013.402488152,19189000.0,1385243.6608770315,103200000.0,3212475.6808418017,3770699999.9999995,19418290.34698987,0.2,5.0
15,174400000.0,4176122.6035642205,32500000.0,1802775.6377319945,585500000.0,7651797.1745205065,108300000.0,3290896.5343808667,9920500.0,996017.0681268468,31500000.0,1774823.9349298847,1910800000.0,13823168.95650198,0.15,5.0
19,10500000.0,1024695.0765959598,800000.0,282842.712474619,39900000.0,1997498.435543818,37600000.0,1939071.9429665315,650440.0,255037.25218093142,1600000.0,400000.0,298940000.0,5467540.580553564,0.1,5.0
23,100000.0,100000.0,0.0,0.0,400000.0,200000.0,18800000.0,1371130.9200802087,0.0,0.0,0.0,0.0,5100000.0,714142.842854285,0.07,5.0
