,Al27,B10,B11,B12,B13,B14,B7,B8,Be10,Be11,Be12,Be6,Be7,Be8,Be9,C10,C11,C12,C13,C14,C15,C16,C8,C9,F14,F15,F16,F17,F18,F19,F20,H4,H5,H6,He3,He6,He7,He8,Li10,Li4,Li6,Li7,Li8,Li9,Mg25,N10,N11,N12,N13,N14,N15,N16,N17,N18,Na21,Na24,Ne19,Ne20,Ne21,Ne22,O12,O13,O14,O15,O16,O17,O18,alpha,anti_nu_mu,deuteron,e+,e-,energy,gamma,mu+,mu-,neutron,nu_e,nu_mu,pi+,pi-,pi0,proton,thickness (cm),triton
0,0.0,11153,12885,92,2.0,0.0,32,16,738,0.0,0.0,4.0,2212,0.0,754,970,16612,47438,2519,183,0.0,0.0,3.0,89,1.0,11,42,2,0.0,0.0,0.0,76.0,0.0,2.0,3949,0.0,4.0,1.0,0.0,101,5769,761,30,8.0,0.0,11.0,190,1506,28,4231,2953,11,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,11.0,384,3929,10105,14,17,96509,0.0,20156,256,3211877,250,157719,0.0,0.0,129481,0.0,0.0,1.0,1.0,6.0,255429,1,2414
1,0.0,11249,12249,74,3.0,0.0,35,11,662,0.0,0.0,0.0,2151,0.0,726,1000,16812,49218,2488,195,2.0,1.0,2.0,68,1.0,12,40,3,2.0,0.0,0.0,67.0,0.0,0.0,3824,2.0,5.0,0.0,0.0,88,5668,683,26,8.0,0.0,12.0,194,1671,23,4434,3012,10,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,399,3939,10488,12,19,96946,0.0,19907,252,3033633,230,151805,0.0,0.0,128441,0.0,0.0,0.0,0.0,2.0,253581,1,2345
2,0.0,11748,11506,92,2.0,1.0,32,14,590,1.0,0.0,2.0,2161,0.0,725,944,16926,52324,2702,158,0.0,0.0,3.0,66,0.0,21,44,4,0.0,0.0,0.0,62.0,0.0,0.0,3795,2.0,7.0,0.0,0.0,121,5805,672,29,5.0,0.0,11.0,213,1845,36,4541,2927,12,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,371,4102,11209,16,17,97955,0.0,19961,318,2680945,200,143944,0.0,0.0,125709,0.0,0.0,0.0,0.0,0.0,249174,1,2112
3,0.0,11930,9868,71,2.0,0.0,32,13,459,1.0,0.0,0.0,2475,0.0,730,900,17037,67847,2954,123,0.0,0.0,0.0,47,0.0,12,54,2,0.0,0.0,0.0,50.0,0.0,0.0,3800,0.0,0.0,0.0,0.0,92,6122,571,22,3.0,0.0,7.0,235,2197,27,4812,2458,15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,392,4198,15118,25,25,100049,0.0,20096,307,859284,150,113460,0.0,0.0,118326,0.0,0.0,0.0,0.0,0.0,238318,1,1836
4,0.0,13646,8286,55,0.0,0.0,20,12,285,1.0,0.0,1.0,2886,0.0,695,620,17949,106501,3642,86,0.0,0.0,0.0,13,0.0,11,86,1,0.0,0.0,0.0,14.0,0.0,0.0,3759,0.0,2.0,0.0,0.0,66,6909,594,5,0.0,0.0,7.0,253,2764,13,5940,2357,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,384,4350,24007,19,57,105956,0.0,19637,352,17232,100,113459,0.0,0.0,105257,0.0,0.0,0.0,0.0,0.0,229133,1,1337
5,0.0,17902,8452,45,0.0,0.0,18,11,116,0.0,0.0,1.0,4017,0.0,685,258,21153,178967,4681,59,0.0,0.0,0.0,2,0.0,21,97,4,2.0,0.0,0.0,0.0,0.0,0.0,4026,0.0,0.0,0.0,0.0,90,8168,764,4,0.0,0.0,0.0,276,4288,7,7372,2814,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,242,5046,40944,30,90,122214,0.0,19892,546,21813,70,147007,0.0,0.0,92755,0.0,0.0,0.0,0.0,0.0,237247,1,1071
6,0.0,22568,26009,196,5.0,0.0,51,26,1416,6.0,0.0,8.0,4294,0.0,1669,1926,33436,116813,5352,385,2.0,0.0,4.0,153,1.0,34,90,8,2.0,0.0,1.0,155.0,0.0,0.0,7602,0.0,5.0,3.0,2.0,198,11424,1575,59,18.0,0.0,32.0,336,3093,54,8698,6260,25,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,805,7728,24054,25,48,194963,2.0,41007,938,6410304,250,324574,1.0,1.0,262328,1.0,1.0,5.0,2.0,5.0,538113,2,4871
7,0.0,23084,25025,192,4.0,0.0,57,24,1454,8.0,0.0,4.0,4452,0.0,1648,1949,33821,120259,5393,365,3.0,0.0,2.0,144,0.0,34,107,10,0.0,0.0,0.0,152.0,0.0,0.0,7807,0.0,10.0,0.0,0.0,186,11471,1513,71,19.0,1.0,30.0,405,3492,34,8725,6259,33,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,824,7955,25264,37,49,196435,0.0,40732,975,6035957,230,315333,0.0,0.0,260782,0.0,0.0,3.0,0.0,2.0,535992,2,4663
8,0.0,23732,23185,189,4.0,0.0,56,27,1239,3.0,1.0,6.0,4523,0.0,1661,2032,33837,127518,5579,346,0.0,0.0,6.0,115,0.0,30,105,2,2.0,0.0,0.0,114.0,1.0,0.0,7635,2.0,6.0,0.0,0.0,193,11588,1403,52,11.0,0.0,20.0,397,3737,60,9185,5675,34,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,26.0,795,8016,26930,39,60,198120,0.0,40600,970,5306200,200,295701,0.0,0.0,253818,0.0,0.0,0.0,0.0,0.0,524006,2,4443
9,0.0,24125,19455,145,4.0,0.0,68,22,998,2.0,0.0,3.0,4968,0.0,1666,1751,34073,156543,6267,265,2.0,0.0,1.0,82,0.0,31,144,9,2.0,0.0,0.0,67.0,0.0,0.0,7818,0.0,5.0,1.0,0.0,188,12115,1284,31,5.0,0.0,35.0,475,4600,53,9929,5235,39,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,870,8280,34086,28,78,202365,0.0,39593,1135,1420079,150,234537,0.0,0.0,238224,0.0,0.0,0.0,0.0,0.0,501497,2,3697
10,0.0,28249,16837,111,0.0,0.0,56,42,519,2.0,1.0,7.0,5976,0.0,1563,1239,36494,243928,7982,149,1.0,0.0,0.0,15,1.0,38,151,8,0.0,0.0,0.0,12.0,0.0,0.0,7474,0.0,0.0,0.0,1.0,133,14195,1317,18,0.0,0.0,12.0,503,5784,19,11952,4907,23,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,723,8888,55495,56,116,218121,0.0,39994,1402,66559,100,242995,0.0,0.0,209671,0.0,0.0,0.0,0.0,0.0,484342,2,2658
11,0.0,38386,17760,100,1.0,0.0,13,61,176,0.0,0.0,0.0,9144,0.0,1545,322,44079,432782,9842,62,0.0,0.0,0.0,1,0.0,44,265,11,1.0,0.0,0.0,2.0,0.0,0.0,7790,0.0,0.0,0.0,0.0,161,14982,1752,4,0.0,0.0,0.0,487,10378,13,16081,5930,38,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,359,10673,97302,63,194,264626,0.0,39993,1983,87571,70,333605,0.0,0.0,173295,0.0,0.0,0.0,0.0,0.0,504249,2,1770
12,0.0,33861,39223,343,7.0,0.0,75,42,2342,6.0,0.0,8.0,6356,0.0,2845,2990,50740,210314,8767,583,2.0,0.0,9.0,234,0.0,48,145,17,0.0,1.0,0.0,229.0,1.0,2.0,11708,1.0,17.0,4.0,1.0,325,17453,2236,98,29.0,0.0,36.0,534,4723,76,13083,9718,69,8.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,57.0,1237,11617,43053,53,63,299127,3.0,62192,1975,9575272,250,499629,3.0,0.0,401295,3.0,3.0,9.0,5.0,6.0,868550,3,7305
13,0.0,35095,37955,346,6.0,0.0,90,44,2145,7.0,0.0,9.0,6650,1.0,2858,2911,50892,215190,8834,558,4.0,1.0,4.0,192,0.0,49,162,10,0.0,1.0,0.0,217.0,0.0,0.0,11643,4.0,11.0,1.0,0.0,309,17435,2214,100,30.0,0.0,44.0,571,5116,83,13217,9216,60,5.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,54.0,1209,11921,44257,51,82,298157,1.0,61646,2059,8993912,230,484149,2.0,0.0,393757,1.0,2.0,4.0,0.0,3.0,857187,3,6871
14,0.0,35263,35278,327,6.0,0.0,92,37,1840,5.0,0.0,5.0,6871,0.0,2721,2874,51150,226053,9050,494,3.0,2.0,2.0,170,2.0,44,162,13,3.0,0.0,0.0,178.0,0.0,0.0,11682,3.0,5.0,1.0,2.0,336,17501,2203,83,21.0,0.0,45.0,621,5612,65,14123,8986,69,6.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,31.0,1248,12240,47363,51,86,302649,0.0,62025,2111,7854299,200,453883,0.0,0.0,386473,0.0,0.0,0.0,1.0,0.0,844248,3,6479
15,0.0,36523,29458,243,3.0,0.0,89,57,1358,6.0,0.0,8.0,7428,0.0,2672,2593,51366,269658,9901,346,1.0,1.0,1.0,105,2.0,57,223,15,2.0,0.0,0.0,110.0,0.0,0.0,11433,3.0,5.0,0.0,2.0,258,18249,1928,51,11.0,0.0,42.0,673,6859,89,15024,7905,58,6.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,31.0,1209,12558,58565,59,107,306410,0.0,60278,2302,1667567,150,355074,0.0,0.0,356953,0.0,0.0,0.0,0.0,0.0,801340,3,5454
16,0.0,43834,26005,186,3.0,0.0,80,60,738,3.0,0.0,3.0,9265,0.0,2770,1639,55382,422623,12782,234,4.0,1.0,0.0,32,0.0,58,256,14,1.0,0.0,0.0,19.0,0.0,0.0,11703,0.0,0.0,0.0,0.0,249,21722,2017,26,0.0,0.0,20.0,842,9391,27,18653,7504,59,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,1032,13456,94949,78,202,334628,0.0,60443,2787,150555,100,386901,0.0,0.0,312685,0.0,0.0,0.0,0.0,0.0,782092,3,3947
17,0.0,50601,24575,126,0.0,0.0,16,73,161,0.0,0.0,0.0,13452,0.0,2008,349,73992,826704,15174,84,6.0,0.0,0.0,1,0.0,45,370,22,3.0,0.0,0.0,0.0,0.0,0.0,10934,0.0,0.0,0.0,0.0,148,16825,2784,2,0.0,0.0,0.0,501,14105,27,24081,10713,47,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,355,18668,173832,108,357,518400,0.0,92645,5062,196608,70,551564,0.0,0.0,196025,0.0,0.0,0.0,0.0,0.0,781659,3,1859
18,1.0,57596,66798,664,9.0,0.0,140,56,3864,11.0,0.0,10.0,10898,0.0,5391,4870,85177,485792,16329,960,4.0,0.0,7.0,376,4.0,73,250,25,3.0,0.0,0.0,320.0,1.0,1.0,19767,4.0,13.0,1.0,1.0,516,28652,3966,222,60.0,0.0,49.0,947,7910,133,22326,16249,171,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,71.0,2023,19800,97206,103,163,508580,8.0,105807,5000,15806754,250,861695,9.0,0.0,678480,8.0,9.0,19.0,4.0,9.0,1739936,5,12047
19,0.0,58685,64050,635,20.0,0.0,150,80,3506,13.0,0.0,14.0,11049,0.0,5408,4914,85000,494279,16351,906,9.0,1.0,13.0,311,2.0,79,273,17,2.0,1.0,0.0,352.0,0.0,0.0,19630,5.0,9.0,3.0,1.0,478,29375,3927,153,48.0,0.0,63.0,928,8727,131,22935,15735,150,17.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,72.0,2018,19976,98973,88,167,509480,1.0,106494,4997,14764405,230,829837,1.0,0.0,668603,1.0,1.0,2.0,0.0,4.0,1716196,5,11582
20,0.0,59153,59102,546,4.0,0.0,163,68,3061,10.0,0.0,16.0,11473,0.0,5366,4817,85071,510193,16810,839,11.0,1.0,9.0,304,1.0,77,270,26,3.0,2.0,0.0,262.0,1.0,0.0,19295,3.0,10.0,3.0,1.0,476,29705,3711,138,39.0,0.0,71.0,1069,9749,131,23986,15302,133,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,70.0,2025,20301,104233,102,201,513292,0.0,104653,5065,12543169,200,773044,0.0,0.0,649069,0.0,0.0,0.0,0.0,1.0,1684388,5,10830
21,0.0,61745,49575,518,6.0,0.0,171,65,2112,2.0,0.0,14.0,12432,0.0,5192,4242,85829,594581,18782,602,8.0,0.0,1.0,179,5.0,86,363,26,5.0,1.0,0.0,170.0,0.0,0.0,18891,2.0,5.0,0.0,0.0,432,31214,3361,87,9.0,0.0,61.0,1188,11925,121,25450,13356,142,13.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,38.0,2015,20935,124274,111,261,520815,0.0,101957,5502,1904623,150,616897,0.0,0.0,595999,0.0,0.0,0.0,0.0,0.0,1606152,5,8814
22,0.0,80295,44298,374,1.0,0.0,121,93,872,3.0,0.0,3.0,17753,2.0,5066,2001,96951,967321,24180,282,5.0,0.0,0.0,38,1.0,96,476,32,4.0,0.0,0.0,25.0,0.0,0.0,19073,0.0,0.0,0.0,0.0,372,36635,3714,31,0.0,0.0,12.0,1305,18772,36,33610,13731,156,10.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,11.0,1425,23504,210908,154,405,592250,0.0,100446,7480,441680,100,745482,0.0,0.0,495183,0.0,0.0,0.0,0.0,0.0,1588472,5,5764
23,0.0,51091,24999,151,0.0,0.0,15,66,188,0.0,0.0,1.0,13309,3.0,2612,330,73907,1183789,18625,89,2.0,0.0,0.0,1,0.0,32,383,394,6.0,0.0,0.0,2.0,0.0,0.0,10644,0.0,0.0,0.0,0.0,155,16715,2751,2,0.0,0.0,0.0,456,13851,26,23882,11681,79,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,333,19494,232391,143,415,590904,0.0,93756,10389,389109,70,715108,0.0,0.0,201411,0.0,0.0,0.0,0.0,0.0,1104316,5,1880
