,thickness (cm),energy,Be7,C10,C11,O14,O15,F17,Be7 error,C10 error,C11 error,O14 error,O15 error,F17 error
0,1,250,3.3403804297553745,142947.31544303743,92791.07456532042,28490.290739915723,188846.21764626927,158.42624087115763,0.0710237124383323,4589.761689158742,719.9382414162893,1453.8890611736274,3012.779006607969,112.02426923788894
1,1,230,3.2482632479221563,147368.36643612102,93908.23173562287,29603.192721943677,189326.86467514755,237.63936130673648,0.07003756091227799,4660.196929964532,724.2591194934103,1482.0133120096398,3016.610597888738,137.20114922049504
2,1,200,3.263364425271864,139115.73791569826,94545.01132269525,27525.775688824826,197161.41124586322,316.85248174231526,0.07020017446043693,4527.831604884616,726.7105246089193,1429.067069127038,3078.393193287195,158.42624087115763
3,1,150,3.7375413940526903,132631.52979250893,95165.0335522131,29083.838463663964,201775.62272309454,158.42624087115763,0.07512740874239171,4421.050993083631,729.0894992897885,1468.9556714707805,3114.207018839894,112.02426923788894
4,1,100,4.3581997831256825,91368.38719039505,100259.2702487922,28490.290739915723,209081.45756204412,79.21312043557882,0.08112579605183494,3669.442732098639,748.3493924889898,1453.8890611736274,3170.084878528223,79.21312043557882
5,1,70,6.066142941377639,38021.03854051923,118156.12811703725,17954.818643384388,242534.49077197118,316.85248174231526,0.09571097135983006,2367.086466507111,812.4006577456765,1154.1794561556133,3414.2859046958897,158.42624087115763
6,2,250,6.484445553964546,283831.4737559691,186766.3357311614,59725.73970216708,371444.0239171211,633.7049634846305,0.09895593075957757,6467.440036875018,1021.3896199129381,2105.0557251947453,4225.322076367085,224.0485384757779
7,2,230,6.72304415608993,287220.9461839999,188916.86328399362,61135.415546069155,382354.7114726577,792.1312043557882,0.10076005266524572,6505.942025976953,1027.2532024986797,2129.753117669169,4286.929624415802,250.49388114565824
8,2,200,6.830262515272856,299452.520598198,189006.23585761784,58983.80504748177,385286.6583488151,158.42624087115763,0.10156032965099952,6643.028585346846,1027.496159652705,2091.9399855141337,4303.334609367393,112.02426923788894
9,2,150,7.5022649073348555,258042.00962964792,190324.4813185747,64548.31495762155,397975.73991120124,712.9180839202094,0.10643919996418287,6166.622205958059,1031.073127836086,2188.3928296492218,4373.623863044774,237.63936130673648
10,2,100,9.024463584185405,182589.40601435397,203847.6688650857,53641.875533747574,427199.0792669996,633.7049634846305,0.11673903591805265,5187.282765849284,1067.075172895676,1994.9628167162195,4531.357061512728,224.0485384757779
11,2,70,13.808516568572848,47452.613992430975,246215.8545488056,26635.454103202457,512994.57392176945,871.3443247913671,0.14440389802162465,2644.430790773011,1172.7357062683395,1405.7655011574943,4965.574667509981,262.7201989580486
12,3,250,9.598308323474303,440631.4156440019,283422.7741057283,91777.31678457226,558367.6534478774,1346.6230474048398,0.12039342018979375,8058.233796800142,1258.2284854493287,2609.459174551414,5180.518831656241,326.6040624906643
13,3,230,10.042282937555713,428989.3146955483,284271.8135551581,89699.89975145341,572979.3231257765,792.1312043557882,0.12314637454508105,7951.066250839192,1260.1116911369852,2579.7570456808735,5247.864415827474,250.49388114565824
14,3,200,10.376018956984257,423536.68513741187,285712.9463048483,92593.44490472609,588311.9633469931,1029.7705656625246,0.12517591719390347,7900.374004720924,1263.3017585135717,2621.0357794488577,5317.6159812106525,285.6069674199838
15,3,150,11.217154535362983,382126.1741688618,286919.4760487749,89699.89975145341,603596.5388653219,1188.196806533682,0.1301507741035742,7504.219483713803,1265.9663304513815,2579.7570456808735,5386.249929652537,306.79109624811923
16,3,100,13.991240814504314,241536.7525888024,309351.99202844786,76567.6563635235,646758.6420585898,1108.9836860981036,0.14535618627437238,5966.144204031389,1314.5242410125475,2383.4470349503035,5575.505534987843,296.3883572071973
17,3,70,20.314103770826986,51431.55988620625,413303.46672508965,26338.680241328337,897271.8735099401,1742.6886495827341,0.17514761880871435,2753.068281698031,1519.4158933004296,1397.9120011544578,6567.123115174442,371.5424684758303
18,5,250,16.4572630757116,717683.9445439094,475780.4814742534,150093.38064283726,951681.1171789594,1980.3280108894703,0.15764645520820292,10284.158231224741,1630.2171272086855,3337.056795108431,6763.303197488726,396.0656021778941
19,5,230,16.68529085369219,724168.1526670988,474791.79737853573,149722.4133154946,960140.504887217,1346.6230474048398,0.15873485323427364,10330.511975870986,1628.5224297537525,3332.9303476352757,6793.2958199957375,326.6040624906643
20,5,200,17.325580773319803,709873.4211227951,475188.3881739931,150241.76757377433,975761.5333257604,2059.5411313250493,0.16175186797826804,10228.04411641282,1629.202435385232,3338.7059460838736,6848.334701857994,403.9092468335918
21,5,150,18.773783681156786,625136.6104220256,479422.41384943936,149499.832919089,1006234.5549566422,2059.5411313250493,0.1683764344836294,9598.195719889634,1636.4446022331515,3330.45202506109,6954.449289444497,403.9092468335918
22,5,100,26.809120148936326,294884.1012386782,541547.5240899579,105725.688292656,1129712.7766754678,2534.819853938522,0.2012086672980847,6592.161124208641,1739.2436568759254,2800.741902331915,7368.806481343336,448.0970769515558
23,5,70,20.098156934726163,48631.56092391994,412828.6749277111,24706.424001020667,936973.3180952846,31209.969451618053,0.17421418779007647,2677.0793209385447,1518.5429106580202,1353.903695234857,6710.837812678126,1572.3355459194315
